address,count,capacity
"Новгородская, 18",3,"0,75"
"Новгородская, 5",3,"0,75"
"Силикатная, 1",2,"0,75"
"Силикатная, 4",3,"0,75"
"Кундо, 9",2,"0,75"
"Радикальцева, 1а",1,"0,75"
"Заовражная, б/н",2,"0,75"
"Керамическая, 4а",5,"0,75"
"Керамическая, 5",2,"0,75"
"Воронежсская, 6",4,"0,75"
"Радикальцева, 2",5,"0,75"
"Силикатная, 6",4,"0,75"
"Воронежская, 3",4,"0,75"
"ст. Дивизионная, 1 участок, д. 9",6,"0,75"
"ст. Дивизионная, 1 участок, д. 27. 28",3,"0,75"
Смолина 38,2,3
"Ранжурова 1,3",3,"0,75"
Смолина 42,3,"0,75"
Партизанская 29а,5,"0,75"
Борсоева 69,5,"0,75"
Борсоева 73,6,"0,75"
Смолина 46,3,"0,75"
Борсоева 13,3,"0,75"
Борсоева 15,4,"0,75"
Борсоева 23,4,"0,75"
Водопроводная 5,2,"0,75"
Партизанская 21,2,"0,75"
Смолина 59,2,"0,75"
"Банзарова 4,6",2,"0,75"
"Банзарова 5а,5б",2,"0,75"
Банзарова 8,2,"0,75"
Банзарова 10,2,"0,75"
Кирова 20,3,"0,75"
Кирова 27/3,2,"0,75"
Куйбышева 1,3,"0,75"
Куйбышева 3,1,"0,75"
Куйбышева 29,4,"0,75"
Свердлова 9,2,"0,75"
"Смолина 1,1а",2,"0,75"
Смолина 9,2,"0,75"
Смолина 10,2,"0,75"
Смолина 30,2,"0,75"
Шмидта 39/2,3,"0,75"
Советская 9,2,"0,75"
Шмидта 32,2,"0,75"
Свердлова 2,3,"0,75"
Свердлова 6,2,"0,75"
"Борсоева, 1",5,"0,75"
"Борсоева, 7 Фрунзе, 17",3,"0,67"
"Борсоева, 9",2,"0,48"
"пр. Победы, 15",1,"0,64"
"пр. Победы, 12",2,"0,7"
"пр. Победы, 10",3,"0,52"
"пр. Победы, 7",3,"0,52"
"Профсоюзная, 42",4,"0,7"
"Профсоюзная, 33",1,"0,64"
"Коммунистическая, 45",2,"0,57"
"Коммунистическая, 44",3,"0,64"
"Ербанова, 28",3,"0,63"
"Ермаковская, 37 (мусоропровод)",5,"0,43"
"Воровского, 27 (мусоропровод)",2,"0,78"
"пер. Толстого, 2 (мусоропровод)",2,"0,75"
"Удинская, 3",1,"0,8"
"Ермаковская, 7",2,2
"Ермаковская, 24",4,"0,75"
"Ермаковская, 39",3,"0,84"
"Ермаковская, 41",3,2
"Воровского, 48/1",1,2
"Удинска, 28А",1,2
"Асеева, 7",1,2
"Асеева, 8",1,2
"Фрунзе, 7",5,"0,57"
"Ленина, 9",2,"0,6"
"Ленина, 33",2,"0,67"
"пр. Победы, 16",2,"0,64"
"Куйбышева, 24",2,"0,52"
"Куйбышева, 28",2,"0,53"
"Жанаева, 1",1,2
"Серова, 1А",1,2
"Оцимика, 19",1,2
"Лазо, 97",1,2
"Кирова, 31",3,"0,7"
"Куйбышева, 42",2,"0,7"
"Аэропорт 16,17,20,18,4,5,19,13",5,"0,75"
"Аэропорт 21,22,23",4,"0,75"
"Аэропорт  24,25,29",5,"0,75"
"Аэропорт 26,27,28",5,"0,75"
"Аэропорт 30,31,31а",5,"0,75"
"Сокол  1,2,3,4 ",4,"0,75"
"Сокол  5,6,9",5,"0,75"
"Сокол 7,8",4,"0,75"
Кабанская 22,4,"0,75"
Кабанская 16,4,"0,75"
мерецкова 20,3,"0,75"
автотранспортная 6,2,"0,75"
строителей 36,6,"0,75"
кабанская 2а,4,"0,75"
толстихина 2,5,"0,75"
дорожная 1а,3,"0,75"
строителей 38а,2,"0,75"
строителей 38,6,"0,75"
Кабанская 13б/1,4,"0,75"
"Лощенкова, 19",4,"0,75"
Каландаришвили 17,2,"0,75"
