address,count,capacity
"ул. Добролюбова, д. 6",2,2
"ул. Пушкина, д. 10",2,2
"ул. Пушкина, д. 23",4,2
"ул. Хоца Намсараева, д. 4",2,2
"ул. Хоца Намсараева, д. 6",2,2
"ул. Хоца Намсараева, д. 30",2,2
"ул. Рылеева, д. 5",3,2
"пр. 50 лет Октября, д. 21",2,"0,75"
"ул. Чертенкова, д. 6",3,"0,75"
"ул. Чертенкова, д. 6А",2,"0,75"
"пр. 50 лет Октября, д. 25А",2,2
"ул. Жуковского, д. 2",2,2
"ул. Жуковского, д. 8",1,"0,75"
"ул. Жуковского, д. 22",1,"0,75"
"ул. Жуковского, д. 26",1,"0,75"
"ул. Дзержинского, д. 191",1,"0,75"
"ул. Пржевальского, д. 3А",2,"0,75"
"ул. Дзержинского, д. 1А",1,"0,7"
"ул. 1-я Дзержинского,                   д. 43",1,"0,7"
"проезд Строительный,         д. 13",1,"0,7"
"ул. Революции 1905 г.,       д. 60",1,"0,75"
"ул.Норильская 2,4",4,"0,75"
"ул.Норильская 6,8",4,"0,75"
"ул.Норильская 10,14,16",5,"0,75"
"ул.Норильская 18,20",4,"0,75"
"ул.Норильская 22,24",6,"0,75"
"ул.Норильская 3,12,12А",6,"0,75"
Пр.50-лет Октября 4,2,"2,75"
Пр.50-лет Октября 6,6,"0,75"
Пр.50-лет Октября 20,2,"2,75"
Пр.50-лет Октября 24,4,"0,75"
Пр.50-лет Октября 30,3,"0,75"
Хахалова 2,2,"2,75"
Хахалова 6,2,"2,75"
Гагарина 13,2,"2,75"
Цивилева 5,3,"2,75"
Цивилева 12,2,"2,75"
Хахалова 10а,3,"0,75"
Хахалова 11-13,2,"0,75"
Хахалова 12-14,2,"0,75"
Хахалова 16б,2,"0,75"
Хахалова 17,2,"0,75"
Хахалова 25,2,"0,75"
Цивилева 4,1,"0,75"
Пушкина 3,1,"0,75"
Пушкина 5,2,"0,75"
3 Интернационала 26а,4,"0,75"
Коллективная 22,2,"0,75"
Ул.Рылеева 1,4,"2,75"
Ул.Чертенкова  1,4,"2,75"
Ул.Цивилева 30,6,"0,75"
Ул.Цивилева 38,6,"0,75"
Ул.Цивилева 40,2,"0,75"
Ул.Жуковского 14,1,"0,75"
Ул.Проспект окт 3,4,"0,75"
Ул.Дзержинск 193а-б,2,"0,75"
Ул.Жуковского 30-32,2,"0,75"
Ул.Жуковского 34,1,"0,75"
Ул.Жуковского 36,1,"0,75"
"пр-кт 50 лет Октября, 21б",2,"0,75"
"ул.Комсомольская д.1 ""в""",3,0.75
ул.Комсомольская д.1 ,3,0.75
ул.Лимонова д.8,1,0.75
ул.Лимонова д.8 а,1,0.75
ул.Октябрьская д.1а,1,0.75
ул.Жуковского д.7,3,0.75
ул.Буйко д.20а,2,0.75
ул. Октябрьская д.16,1,0.75
Туполева 12,1,"0,75"
Чкалова 23,1,"0,75"
Магистральная 5,1,"0,75"
Столичная 4,1,"0,75"
Родины 4,2,"0,75"
Родины 5,1,"0,75"
Зеленый 9,2,"0,75"
Комарова 19,2,"0,75"
"Туполева 18,18а",2,"0,75"
Краснодонская 19,4,"0,75"
Чайковского 3а,2,"0,75"
Заиграевская 3,1,"0,75"
Нестерова 2,2,"0,75"
Туполева 16,6,"0,75"
Чкалова 18,5,"0,75"
Микояна 3,3,"0,75"
Гастелло 10,2,"0,75"
Гастелло 6,2,"0,75"
Родины 11,1,"0,75"
Чайковского 20,1,"0,75"
Чайковского 9,3,"0,75"
Герцена 7,6,"0,75"
Гарнаева 20,1,"0,75"
Столичная 1,2,"0,75"
"ул. Цивилева, д. 50",5,"3,75"
"ул. Гагарина, д. 39",2,4
"ул. Цивилева, д. 48П",1,2
"ул. Жуковского, д. 10",2,"1,5"
"ул.Путейская,4",6,7
"Путейская,5",4,7
"Путейская,6",5,6
"Клыпина,10",6,7
"Клыпина,15",5,7
"Клыпина,24п",5,7
"Шульца,4",6,7
"Шульца,6",5,7
"Гагарина,38",5,7
"Пушкина,14",6,7
"Ю.Коммунара,10",5,7
"Лысогорская,87а",5,5
"Лысогорская,85",4,1
"Добролюбова,3",5,7
"Сенчихина,2",3,7
Гагарина д.73б,4,2
Гагарина д.77,2,2
Коллективная д.11,2,2
Гагарина д.77а,4,"0,75"
Гагарина д.79,5,"0,75"
Гагарина д.81,4,"0,75"
Гагарина д.83,5,"0,75"
Гагарина д.85,3,"0,75"
Сенчихина д.1,3,"0,75"
Революции 1905 г. 98,5,"0,75"
Гастелло 2А,3,"0,75"
Гастелло 8,2,"0,75"
Гастелло 15,2,"0,75"
Герцена 13,2,"0,75"
Заиграевская 35,2,"0,75"
Комарова 16,5,"0,75"
Магистральная 1,2,"0,75"
Моцарта 2,4,"0,75"
Моцарта 5,1,"0,75"
Моцарта 14,2,"0,75"
Нестерова 4,3,"0,75"
Родины 5/2,4,"0,75"
Родины 6,1,"0,75"
Столичная 2,4,"0,75"
Столичная 6,2,"0,75"
Столичная 7,3,"0,75"
Чайковского 10,2,"0,75"
Чайковского 18,5,"0,75"
Королева 8,3,"0,75"
Камова 15,8,"0,75"
Яковлева 3,1,"0,75"
Чкалова 21,8,"0,75"
Яковлева 7,8,"0,75"
Яковлева 10,6,"0,75"
Туполева 6,4,"0,75"
Туполева 8,6,"0,75"
Туполева 1,8,"0,75"
Балдынова 9,2,"0,75"
Балдынова 23,4,"0,75"
Комарова 4,2,"0,75"
Чайковского 24,2,"0,75"
Чайковского 26,2,"0,75"
Балдынова 10,3,"0,75"
Гарнаева 19,3,"0,75"
Гарнаева 22,1,"0,75"
Гарнаева 25,2,"0,75"
Гарнаева 28,2,"0,75"
Гарнаева 31,2,"0,75"
Гарнаева 32,2,"0,75"
Гарнаева 33 - 35,3,"0,75"
Заиграевская 6,1,"0,75"
Заиграевская 8,3,"0,75"
Заиграевская 13,3,"0,75"
Заиграевская 25,3,"0,75"
Краснодонская 1 - 3,2,"0,75"
Краснодонская 8,1,"0,75"
Пролетарская 3,3,"0,75"
Пролетарская 7,2,"0,75"
Пролетарская 8а,3,"0,75"
Севастопольская 5,2,"0,75"
Севастопольская 10а,5,"0,75"
Севастопольская 16а,3,"0,75"
Хоринская 2,4,"0,75"
Хоринская 8,1,"0,75"
Ул. Гагарина д. 64,4,"0,75"
Ул. Гагарина д. 64А,3,"0,75"
Ул. Гагарина д. 87,3,"0,75"
Ул. Пушкина д. 24,2 евро,"0,75"
Ул. Пушкина 35,2 евро,"0,75"
"Ул. Революции
1905 г. д. 102",3,"0,75"
Ул. Революции1905 г. д. 104 Б,2,"0,75"
Сенчихина д. 20,5,"0,75"
Чертенкова д. 49,5,"0,75"
Чертенкова д. 53,5,"0,75"
"Октябрьская , 21",2,3
Буйко 26,3,3
Соснова 14а,2,3
Буйко 25а,1,3
Буйко 35,1,3
Октябрьская 19,2,3
Комсомольская 15,1,3
Юннатов 3,2,"0,75"
Юннатов 9,3,"0,75"
Юннатов 9 а,3,"0,75"
Юннатов 2а,2,"0,75"
"Юннатов,2",3,"0,75"
Кулундинская 5,3,"0,75"
"Уссурийская, 17-19",2,"0,75"
Астраханская 14,5,"0,75"
Моховая 6,5,"0,75"
Кирзавод 1,2,"0,75"
Кирпичная 7а,2,"0,75"
Кирпичная 2,2,"0,75"
Тропинина 5,2,"0,75"
Шаляпина 25,5,"0,75"
Шаляпина 19,2,"0,75"
Шаляпина 15а,3,"0,75"
Шаляпина 5,3,"0,75"
Шаляпина 1а,3,"0,75"
Кирзавод 14,1,"0,75"
Буйко 32,2,3
Буйко 4,2,3
"Комсомольская ,35",1,3
Комсомольская 42,3,3
Комсомольская 8а,4,3
Комсомольская 3а,2,3
Октябрьская 40,2,3
Октябрьская 46,2,3
Октябрьская 37,2,3
Октябрьская 43,2,3
Октябрьская 45,2,3
Октябрьская 9,3,3
Октябрьская 15,3,3
Лимонова 2,4,3
Лимонова 14,2,3
Маяковского 5,4,3
Пр. 50 лет Октября 34,2,3
Пр.50 лет Октября 46,4,3
Иванова 19,4,"0,75"
Иванова 3,2,"0,75"
Октябрьская 39-41,6,"0,75"
Октябрьская 14,3,"0,75"
Шишкина 38,2,"0,75"
Шишкина 42,5,"0,75"
Октябрьская 8,2,3
Октябрьская 18а,2,3
Октябрьская 20а,5,"0,75"
Октябрьская 22,2,3
Гвардейская 8,3,"0,75"
Горная 1,2,"0,75"
Горная 3,2,"0,75"
Горная 5,3,"0,75"
Горная 9,4,"0,75"
Буйко 15,2,3
Буйко 3,4,"0,75"
Целинная 24,3,"0,75"
Революции 1905г. 68,4,"0,75"
Комсомольская 6Б,,
Гагарина 22,4,"0,75"
"Добролюбова 35 блоки А,Б",2,"0,75"
Добролюбова 35,1,"0,75"
"Добролюбова 37, 37А, 37Б,37В.",4,"0,75"
Октябрьская 33 2блока,4,"0,75"
Буйко 22,3,"0,75"
Гвардейская 16,1,"6,5"
Революции 1905г.дом16,2,"19,5"
Сосновая 14,1,"22,75"
Проспект 50 лет Октября д.12,1,"22,75"
Керамическая д.7,1,"22,75"
Соснова 16,1,"22,75"
Сосновая 16а,1,"22,75"
П. Новый Зеленныйд.3,2,"0,75"
П. Новый Зеленныйд.3,4,"0,75"
 Антонова 4, 4," 0,75"
 Туполева 13, 4," 0,75"
( возле ЦТП), 1, 2
 Туполева 19а, 2, 2
 Туполева 23а, 3," 0,75"
 Антонова 22,4,"0,75"
Туполева 5, 1, 2
